date,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh
04 May 2021 17:37,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,False,False,True,True,False
04 May 2021 17:55,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,False,False,True,True,False
04 May 2021 18:14,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,False,False,True,True,False
04 May 2021 18:21,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,False,False,True,True,False
04 May 2021 21:44,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,False,False,True,True,False
05 May 2021 13:35,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False
05 May 2021 19:52,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False
07 May 2021 15:51,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False
07 May 2021 22:16,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False
08 May 2021 23:31,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False
09 May 2021 15:42,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False
10 May 2021 13:06,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False
11 May 2021 12:27,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False
13 May 2021 18:56,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False
14 May 2021 14:49,True,True,True,False,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False
